index,Unnamed: 0,Ingredient,Text,Recipe_Index,Rating,Quantity,Unit
0,1,all purpose flour,3.0 cups all purpose flour,AR_1,0.920724583,3.0,cup
1,2,all purpose flour,2.8000000000000003 cups all purpose flour,AR_10,0.905162048,2.8,cup
2,3,all purpose flour,1.1076923076923078 cups all purpose flour,AR_101,0.6,1.107692308,cup
3,4,all purpose flour,3.333333333333333 cups sifted all purpose flour,AR_102,0.9375,3.333333333,cup
4,5,all purpose flour,2.0 cups all purpose flour,AR_103,0.88125,2.0,cup
5,6,all purpose flour,9.0 cups unbleached all purpose flour,AR_107,0.927272701,9.0,cup
6,7,all purpose flour,0.8571428571428571 cups all purpose flour,AR_108,0.867741966,0.857142857,cup
7,8,all purpose flour,2.6666666666666665 cups all purpose flour,AR_109,0.871794891,2.666666667,cup
8,9,all purpose flour,3.333333333333333 cups all purpose flour,AR_11,0.902891922,3.333333333,cup
9,10,all purpose flour,4.0 cups all purpose flour,AR_110,0.868292713,4.0,cup
10,11,all purpose flour,5.0 cups all purpose flour or more as needed,AR_111,1.0,5.0,cup
11,12,all purpose flour,1.125 cups all purpose flour,AR_116,0.847999954,1.125,cup
12,13,all purpose flour,2.0 cups all purpose flour,AR_118,0.830769253,2.0,cup
13,14,all purpose flour,3.5 cups all purpose flour,AR_119,0.845714283,3.5,cup
14,15,all purpose flour,2.5 cups flour,AR_12,0.873469353,2.5,cup
15,16,all purpose flour,4.5 cups all purpose flour,AR_128,0.714285707,4.5,cup
16,17,all purpose flour,4.5 cups all purpose flour,AR_13,0.909016418,4.5,cup
17,18,all purpose flour,1.3333333333333333 cups all purpose flour,AR_14,0.90666666,1.333333333,cup
18,19,all purpose flour,3.111111111111111 cups all purpose flour,AR_140,0.584615374,3.111111111,cup
19,20,all purpose flour,3.333333333333333 cups sifted all purpose flour,AR_141,0.784615374,3.333333333,cup
20,21,all purpose flour,3.0 cups all purpose flour,AR_142,0.671428585,3.0,cup
21,22,all purpose flour,2.0 cup sifted all purpose flour,AR_144,0.442857122,2.0,cup
22,23,all purpose flour,2.25 cups all purpose flour,AR_15,0.924302769,2.25,cup
23,24,all purpose flour,3.0 cups all purpose flour,AR_155,0.931135178,3.0,cup
24,25,all purpose flour,8.0 cups all purpose flour,AR_156,0.924294472,8.0,cup
25,26,all purpose flour,2.2857142857142856 cups all purpose flour,AR_16,0.85882349,2.285714286,cup
26,27,all purpose flour,2.25 cups all purpose flour,AR_164,0.917012405,2.25,cup
27,28,all purpose flour,3.5555555555555554 cups all purpose flour,AR_169,0.873728848,3.555555556,cup
28,29,all purpose flour,2.6666666666666665 cups all purpose flour,AR_19,0.880000019,2.666666667,cup
29,30,all purpose flour,6.0 cups all purpose flour,AR_195,0.585714293,6.0,cup
30,31,all purpose flour,3.0 cups all purpose flour,AR_196,0.785929632,3.0,cup
31,32,all purpose flour,4.0 cup all purpose flour,AR_197,0.706521749,4.0,cup
32,33,all purpose flour,1.3333333333333333 cup all purpose flour,AR_2,0.937981987,1.333333333,cup
33,34,all purpose flour,4.666666666666666 cups all purpose flour,AR_21,0.881944466,4.666666667,cup
34,35,all purpose flour,2.6666666666666665 cups all purpose flour,AR_218,0.877419376,2.666666667,cup
35,36,all purpose flour,7.0 cups all purpose flour,AR_256,0.870253181,7.0,cup
36,37,all purpose flour,2.5 cups all purpose flour,AR_26,0.9,2.5,cup
37,38,all purpose flour,4.333333333333333 cups all purpose flour,AR_27,0.876923084,4.333333333,cup
38,39,all purpose flour,4.5 cups all purpose flour,AR_28,0.873333359,4.5,cup
39,40,all purpose flour,1.5 cups all purpose flour,AR_280,,1.5,cup
40,41,all purpose flour,2.25 cups all purpose flour,AR_3,0.917986774,2.25,cup
41,42,all purpose flour,1.125 cups all purpose flour,AR_30,0.859829044,1.125,cup
42,43,all purpose flour,3.6 cups all purpose flour,AR_32,0.830769253,3.6,cup
43,44,all purpose flour,3.333333333333333 cups all purpose flour,AR_33,0.826666641,3.333333333,cup
44,45,all purpose flour,4.0 cup all purpose flour,AR_35,0.843636322,4.0,cup
45,46,all purpose flour,5.333333333333333 cups all purpose flour,AR_37,0.8,5.333333333,cup
46,47,all purpose flour,2.0 cups all purpose flour,AR_39,0.6,2.0,cup
47,48,all purpose flour,2.5 cups all purpose flour,AR_4,0.922985077,2.5,cup
48,49,all purpose flour,5.0 cups all purpose flour,AR_43,0.828866005,5.0,cup
49,50,all purpose flour,2.75 cups all purpose flour,AR_45,0.821052647,2.75,cup
50,51,all purpose flour,8.0 cups all purpose flour,AR_47,0.7125,8.0,cup
51,52,all purpose flour,5.0 cups all purpose flour,AR_48,0.677777767,5.0,cup
52,53,all purpose flour,2.333333333333333 cups all purpose flour,AR_49,0.592592573,2.333333333,cup
53,54,all purpose flour,2.25 cups all purpose flour,AR_5,0.937341785,2.25,cup
54,55,all purpose flour,6.0 cups all purpose flour,AR_50,0.66500001,6.0,cup
55,56,all purpose flour,4.0 cups all purpose flour,AR_53,0.692473125,4.0,cup
56,57,all purpose flour,2.0 cup all purpose flour,AR_54,0.723741007,2.0,cup
57,58,all purpose flour,3.5 cups all purpose flour,AR_55,0.385714293,3.5,cup
58,59,all purpose flour,2.0 cups all purpose flour,AR_57,0.595505619,2.0,cup
59,60,all purpose flour,4.5 cups all purpose flour,AR_66,0.902002907,4.5,cup
60,61,all purpose flour,3.375 cups all purpose flour,AR_67,0.939130402,3.375,cup
61,62,all purpose flour,3.375 cups all purpose flour,AR_69,0.920792103,3.375,cup
62,63,all purpose flour,2.2222222222222223 cups all purpose flour,AR_7,0.896335125,2.222222222,cup
63,64,all purpose flour,1.6 cups all purpose flour,AR_70,0.91003809,1.6,cup
64,65,all purpose flour,2.5 cups all purpose flour,AR_78,0.915186214,2.5,cup
65,66,all purpose flour,5.0 cups all purpose flour,AR_79,0.633333349,5.0,cup
66,67,all purpose flour,4.5 cups all purpose flour,AR_8,0.942446041,4.5,cup
67,68,all purpose flour,7.0 cups all purpose flour,AR_84,0.905737686,7.0,cup
68,69,all purpose flour,2.5 cups all purpose flour,AR_88,0.955555534,2.5,cup
